Count,Total Area,Average Size,Area Fraction,TotalMean,picture_id
2472,0.002,7.426000000000001e-07,32.1,255,LG355_204_BHB_1
2383,0.002,7.112000000000001e-07,29.6,255,LG355_204_BHB_2
2453,0.002,7.551000000000001e-07,32.3,255,LG355_204_BHB_3
2527,0.002,7.202e-07,31.8,255,LG355_204_BHB_4
2638,0.002,6.88e-07,31.71,255,LG355_206_CTRL_1
1984,0.001,7.21e-07,24.991,255,LG355_206_CTRL_2
2333,0.002,7.02e-07,28.598000000000003,255,LG355_206_CTRL_3
2307,0.002,6.809999999999999e-07,27.443,255,LG355_206_CTRL_4
2475,0.002,7.35e-07,31.8,255,LG355_207_CTRL_1
2279,0.002,7.384999999999999e-07,29.4,255,LG355_207_CTRL_2
1961,0.002,8.733e-07,29.9,255,LG355_207_CTRL_3
2403,0.002,7.742e-07,32.5,255,LG355_207_CTRL_4
2157,0.002,9.955e-07,37.5,255,LG355_208_CTRL_1
2538,0.002,7.461e-07,33.1,255,LG355_208_CTRL_2
2536,0.002,8.504e-07,37.7,255,LG355_208_CTRL_3
2715,0.002,7.143000000000001e-07,33.9,255,LG355_208_CTRL_4
2630,0.002,7.013e-07,32.2,255,LG355_210_BHB_1
2606,0.002,7.057e-07,32.1,255,LG355_210_BHB_2
2129,0.002,9.544e-07,35.5,255,LG355_210_BHB_3
2071,0.002,7.823e-07,28.3,255,LG355_210_BHB_4
2311,0.002,8.565000000000001e-07,34.6,255,LG875_43_BHB_1
2336,0.002,8.856e-07,36.1,255,LG875_43_BHB_2
2791,0.002,7.695999999999999e-07,37.5,255,LG875_43_BHB_3
2786,0.002,7.554000000000001e-07,36.8,255,LG875_43_BHB_4
2577,0.002,7.432999999999999e-07,33.5,255,LG875_44_BHB_1
2454,0.002,7.923e-07,34.0,255,LG875_44_BHB_2
2223,0.002,8.725e-07,33.9,255,LG875_44_BHB_3
2456,0.002,8.033e-07,34.5,255,LG875_44_BHB_4
2524,0.002,7.078e-07,31.2,255,LG875_46_CTRL_1
2086,0.002,9.329000000000001e-07,34.0,255,LG875_46_CTRL_2
2407,0.002,7.605e-07,32.0,255,LG875_46_CTRL_3
2440,0.002,7.287e-07,31.1,255,LG875_46_CTRL_4
2476,0.002,7.566e-07,32.7,255,LG875_47_CTRL_1
2561,0.002,8.044e-07,36.0,255,LG875_47_CTRL_2
2580,0.002,7.877e-07,35.5,255,LG875_47_CTRL_3
2353,0.002,8.435e-07,34.7,255,LG875_47_CTRL_4
