category,mouse_id,picture_id,Area,IntDen
BHB,LG355_204_BHB,LG355_204_BHB_1,38.68535433070862,9.865401574803138e-06
BHB,LG355_204_BHB,LG355_204_BHB_2,48.58690476190476,1.2389619047619052e-05
BHB,LG355_204_BHB,LG355_204_BHB_3,47.16581395348837,1.2027232558139536e-05
BHB,LG355_204_BHB,LG355_204_BHB_4,44.86537634408604,1.1441655913978494e-05
CTRL,LG355_206_CTRL,LG355_206_CTRL_1,26.736573033707817,6.818140449438198e-06
CTRL,LG355_206_CTRL,LG355_206_CTRL_2,22.770818713450286,5.806836257309948e-06
CTRL,LG355_206_CTRL,LG355_206_CTRL_3,30.8025388601036,7.85484974093264e-06
CTRL,LG355_206_CTRL,LG355_206_CTRL_4,13.678933717579232,3.4884409221902067e-06
CTRL,LG355_207_CTRL,LG355_207_CTRL_1,21.363609022556357,5.447969924812039e-06
CTRL,LG355_207_CTRL,LG355_207_CTRL_2,24.30368421052632,6.1978496240601535e-06
CTRL,LG355_207_CTRL,LG355_207_CTRL_3,22.609836956521725,5.765543478260873e-06
CTRL,LG355_207_CTRL,LG355_207_CTRL_4,19.094596273291884,4.869583850931683e-06
CTRL,LG355_208_6.5_CTRL,LG355_208_6.5_CTRL_1,20.078163265306106,5.120403061224495e-06
CTRL,LG355_208_6.5_CTRL,LG355_208_6.5_CTRL_2,33.519999999999996,8.446671428571426e-06
CTRL,LG355_208_6.5_CTRL,LG355_208_6.5_CTRL_3,54.47471698113206,1.4236943396226414e-05
CTRL,LG355_208_6.5_CTRL,LG355_208_6.5_CTRL_4,19.145783132530113,4.882644578313259e-06
BHB,LG355_210_6.5_BHB,LG355_210_6.5_BHB_1,45.721682242990624,1.1659626168224296e-05
BHB,LG355_210_6.5_BHB,LG355_210_6.5_BHB_2,45.76371428571429,1.1669728571428575e-05
BHB,LG355_210_6.5_BHB,LG355_210_6.5_BHB_3,29.163333333333313,7.4372708333333374e-06
BHB,LG355_210_6.5_BHB,LG355_210_6.5_BHB_4,53.850555555555545,1.3732658730158733e-05
BHB,LG875_43_BHB,LG875_43_BHB_1,9.219459459459467,2.3512432432432415e-06
BHB,LG875_43_BHB,LG875_43_BHB_2,9.000727272727275,2.295472727272728e-06
BHB,LG875_43_BHB,LG875_43_BHB_3,12.12597560975609,3.092012195121954e-06
BHB,LG875_43_BHB,LG875_43_BHB_4,17.564629629629625,4.4793333333333356e-06
BHB,LG875_44_BHB,LG875_44_BHB_1,29.295157894736807,7.470726315789454e-06
BHB,LG875_44_BHB,LG875_44_BHB_2,16.50459016393444,4.2089344262295135e-06
BHB,LG875_44_BHB,LG875_44_BHB_3,19.367241379310336,4.9387068965517304e-06
BHB,LG875_44_BHB,LG875_44_BHB_4,25.910087719298204,6.607280701754375e-06
CTRL,LG875_46_6.5_CTRL,LG875_46_6.5_CTRL_1,22.42899224806196,5.719697674418582e-06
CTRL,LG875_46_6.5_CTRL,LG875_46_6.5_CTRL_2,16.80763819095475,4.286120603015081e-06
CTRL,LG875_46_6.5_CTRL,LG875_46_6.5_CTRL_3,41.16482517482516,9.566488111888114e-06
CTRL,LG875_46_6.5_CTRL,LG875_46_6.5_CTRL_4,29.322108433734925,7.477156626506025e-06
CTRL,LG875_47_6.5_CTRL,LG875_47_6.5_CTRL_1,19.16607142857144,4.887535714285714e-06
CTRL,LG875_47_6.5_CTRL,LG875_47_6.5_CTRL_2,45.34349999999999,1.156285e-05
CTRL,LG875_47_6.5_CTRL,LG875_47_6.5_CTRL_3,25.77304878048782,6.57215853658537e-06
CTRL,LG875_47_6.5_CTRL,LG875_47_6.5_CTRL_4,17.33348484848485,4.420348484848487e-06
