category,mouse_id,picture_id,IntDen_vs_DAPI
BHB,LG355_204_BHB,LG355_204_BHB_1,5.068389967637545e-07
BHB,LG355_204_BHB,LG355_204_BHB_2,4.3673017205203536e-07
BHB,LG355_204_BHB,LG355_204_BHB_3,4.2166408479412973e-07
BHB,LG355_204_BHB,LG355_204_BHB_4,4.2108191531460225e-07
CTRL,LG355_206_CTRL,LG355_206_CTRL_1,4.6005648218347205e-07
CTRL,LG355_206_CTRL,LG355_206_CTRL_2,5.004884072580651e-07
CTRL,LG355_206_CTRL,LG355_206_CTRL_3,6.498011144449205e-07
CTRL,LG355_206_CTRL,LG355_206_CTRL_4,5.24702644126572e-07
CTRL,LG355_207_CTRL,LG355_207_CTRL_1,2.927595959595965e-07
CTRL,LG355_207_CTRL,LG355_207_CTRL_2,3.6169986836331743e-07
CTRL,LG355_207_CTRL,LG355_207_CTRL_3,5.409790922998474e-07
CTRL,LG355_207_CTRL,LG355_207_CTRL_4,3.262600915522268e-07
CTRL,LG355_208_CTRL,LG355_208_CTRL_1,4.652753824756611e-07
CTRL,LG355_208_CTRL,LG355_208_CTRL_2,2.3296572104018906e-07
CTRL,LG355_208_CTRL,LG355_208_CTRL_3,2.9753864353312296e-07
CTRL,LG355_208_CTRL,LG355_208_CTRL_4,2.9853370165745897e-07
BHB,LG355_210_BHB,LG355_210_BHB_1,4.743650190114067e-07
BHB,LG355_210_BHB,LG355_210_BHB_2,3.134616270145818e-07
BHB,LG355_210_BHB,LG355_210_BHB_3,3.3535838421794287e-07
BHB,LG355_210_BHB,LG355_210_BHB_4,8.354973442781266e-07
BHB,LG875_43_BHB,LG875_43_BHB_1,3.7644309822587595e-08
BHB,LG875_43_BHB,LG875_43_BHB_2,5.4045804794520554e-08
BHB,LG875_43_BHB,LG875_43_BHB_3,9.084378359011116e-08
BHB,LG875_43_BHB,LG875_43_BHB_4,8.682124910265618e-08
BHB,LG875_44_BHB,LG875_44_BHB_1,2.754051222351574e-07
BHB,LG875_44_BHB,LG875_44_BHB_2,1.0462306438467812e-07
BHB,LG875_44_BHB,LG875_44_BHB_3,1.2885515069725604e-07
BHB,LG875_44_BHB,LG875_44_BHB_4,3.066897394136811e-07
CTRL,LG875_46_CTRL,LG875_46_CTRL_1,5.846600633914398e-07
CTRL,LG875_46_CTRL,LG875_46_CTRL_2,4.088868648130399e-07
CTRL,LG875_46_CTRL,LG875_46_CTRL_3,5.683455754050686e-07
CTRL,LG875_46_CTRL,LG875_46_CTRL_4,5.086918032786886e-07
CTRL,LG875_47_CTRL,LG875_47_CTRL_1,5.527100161550889e-08
CTRL,LG875_47_CTRL,LG875_47_CTRL_2,9.029949238578681e-08
CTRL,LG875_47_CTRL,LG875_47_CTRL_3,2.08882558139535e-07
CTRL,LG875_47_CTRL,LG875_47_CTRL_4,1.2398767530811736e-07
