category,mouse_id,picture_id,num_aggregates
BHB,LG355_204_BHB,LG355_204_BHB_1,127
BHB,LG355_204_BHB,LG355_204_BHB_2,84
BHB,LG355_204_BHB,LG355_204_BHB_3,86
BHB,LG355_204_BHB,LG355_204_BHB_4,93
CTRL,LG355_206_CTRL,LG355_206_CTRL_1,178
CTRL,LG355_206_CTRL,LG355_206_CTRL_2,171
CTRL,LG355_206_CTRL,LG355_206_CTRL_3,193
CTRL,LG355_206_CTRL,LG355_206_CTRL_4,347
CTRL,LG355_207_CTRL,LG355_207_CTRL_1,133
CTRL,LG355_207_CTRL,LG355_207_CTRL_2,133
CTRL,LG355_207_CTRL,LG355_207_CTRL_3,184
CTRL,LG355_207_CTRL,LG355_207_CTRL_4,161
CTRL,LG355_208_CTRL,LG355_208_CTRL_1,196
CTRL,LG355_208_CTRL,LG355_208_CTRL_2,70
CTRL,LG355_208_CTRL,LG355_208_CTRL_3,53
CTRL,LG355_208_CTRL,LG355_208_CTRL_4,166
BHB,LG355_210_BHB,LG355_210_BHB_1,107
BHB,LG355_210_BHB,LG355_210_BHB_2,70
BHB,LG355_210_BHB,LG355_210_BHB_3,96
BHB,LG355_210_BHB,LG355_210_BHB_4,126
BHB,LG875_43_BHB,LG875_43_BHB_1,37
BHB,LG875_43_BHB,LG875_43_BHB_2,55
BHB,LG875_43_BHB,LG875_43_BHB_3,82
BHB,LG875_43_BHB,LG875_43_BHB_4,54
BHB,LG875_44_BHB,LG875_44_BHB_1,95
BHB,LG875_44_BHB,LG875_44_BHB_2,61
BHB,LG875_44_BHB,LG875_44_BHB_3,58
BHB,LG875_44_BHB,LG875_44_BHB_4,114
CTRL,LG875_46_CTRL,LG875_46_CTRL_1,258
CTRL,LG875_46_CTRL,LG875_46_CTRL_2,199
CTRL,LG875_46_CTRL,LG875_46_CTRL_3,143
CTRL,LG875_46_CTRL,LG875_46_CTRL_4,166
CTRL,LG875_47_CTRL,LG875_47_CTRL_1,28
CTRL,LG875_47_CTRL,LG875_47_CTRL_2,20
CTRL,LG875_47_CTRL,LG875_47_CTRL_3,82
CTRL,LG875_47_CTRL,LG875_47_CTRL_4,66
