category,mouse_id,picture_id,Area_vs_DAPI
BHB,LG355_204_BHB,LG355_204_BHB_1,1.9874757281553372
BHB,LG355_204_BHB,LG355_204_BHB_2,1.7126731011330256
BHB,LG355_204_BHB,LG355_204_BHB_3,1.653591520587036
BHB,LG355_204_BHB,LG355_204_BHB_4,1.6511594776414726
CTRL,LG355_206_CTRL,LG355_206_CTRL_1,1.804059893858981
CTRL,LG355_206_CTRL,LG355_206_CTRL_2,1.962605846774193
CTRL,LG355_206_CTRL,LG355_206_CTRL_3,2.548174024860692
CTRL,LG355_206_CTRL,LG355_206_CTRL_4,2.057472908539226
CTRL,LG355_207_CTRL,LG355_207_CTRL_1,1.1480242424242406
CTRL,LG355_207_CTRL,LG355_207_CTRL_2,1.4183369899078546
CTRL,LG355_207_CTRL,LG355_207_CTRL_3,2.121473737888831
CTRL,LG355_207_CTRL,LG355_207_CTRL_4,1.2793300041614621
CTRL,LG355_208_CTRL,LG355_208_CTRL_1,1.8244413537320339
CTRL,LG355_208_CTRL,LG355_208_CTRL_2,0.9245074862096138
CTRL,LG355_208_CTRL,LG355_208_CTRL_3,1.138470031545741
CTRL,LG355_208_CTRL,LG355_208_CTRL_4,1.1706077348066295
BHB,LG355_210_BHB,LG355_210_BHB_1,1.8601596958174893
BHB,LG355_210_BHB,LG355_210_BHB_2,1.2292632386799696
BHB,LG355_210_BHB,LG355_210_BHB_3,1.3150211366838882
BHB,LG355_210_BHB,LG355_210_BHB_4,3.2762771607918872
BHB,LG875_43_BHB,LG875_43_BHB_1,0.14760709649502393
BHB,LG875_43_BHB,LG875_43_BHB_2,0.2119178082191781
BHB,LG875_43_BHB,LG875_43_BHB_3,0.35626298817628066
BHB,LG875_43_BHB,LG875_43_BHB_4,0.34044867193108397
BHB,LG875_44_BHB,LG875_44_BHB_1,1.0799534342258448
BHB,LG875_44_BHB,LG875_44_BHB_2,0.41026079869600635
BHB,LG875_44_BHB,LG875_44_BHB_3,0.5053081421502476
BHB,LG875_44_BHB,LG875_44_BHB_4,1.2026669381107495
CTRL,LG875_46_CTRL,LG875_46_CTRL_1,2.2926624405705174
CTRL,LG875_46_CTRL,LG875_46_CTRL_2,1.6034132310642353
CTRL,LG875_46_CTRL,LG875_46_CTRL_3,2.4456044869131692
CTRL,LG875_46_CTRL,LG875_46_CTRL_4,1.9948647540983597
CTRL,LG875_47_CTRL,LG875_47_CTRL_1,0.21674071082390967
CTRL,LG875_47_CTRL,LG875_47_CTRL_2,0.3541077704021866
CTRL,LG875_47_CTRL,LG875_47_CTRL_3,0.8191434108527137
CTRL,LG875_47_CTRL,LG875_47_CTRL_4,0.48619209519762013
